"name","Rank","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","appid","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","Total_ratings","Proportion_ratings_pos","Proportion_ratings_neg"
"15 days",16543,"PC","2009","Adventure","DTP Entertainment",0,0.01,0,0,0.01,342990,"2015-04-01",1,"House of Tales","HandyGames","windows",0,"Single-player;Steam Cloud","Adventure;Casual;Indie","Adventure;Casual;Indie",0,34,67,0,0,"0-20000","8.99",101,0.336633663366337,0.663366336633663
"18 wheels of steel extreme trucker 2",10160,"PC","2011","Racing","Rondomedia",0.08,0.02,0,0.01,0.11,362780,"2015-05-08",1,"ValuSoft","ValuSoft;Play Hard Games","windows",0,"Single-player","Simulation","Simulation;Driving",0,50,24,0,0,"0-20000","6.99",74,0.675675675675676,0.324324324324324
"40 winks",5804,"PS","1999","Platform","GT Interactive",0.17,0.12,0,0.02,0.31,778080,"2018-10-22",1,"Eurocom","Piko Interactive LLC","windows",0,"Single-player;Partial Controller Support","Action;Adventure","Action;Adventure;3D Platformer",0,3,7,0,0,"0-20000","10.29",10,0.3,0.7
"7 days to die",9880,"PS4","2016","Action","Telltale Games",0.03,0.07,0,0.02,0.12,251570,"2013-12-13",1,"The Fun Pimps","The Fun Pimps Entertainment LLC","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor","Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access","Early Access;Survival;Zombies",43,60718,16905,2953,574,"2000000-5000000","18.99",77623,0.782216611056001,0.217783388943999
"7 wonders ii",5657,"DS","2009","Puzzle","Rondomedia",0.14,0.15,0,0.03,0.32,15900,"2008-06-10",1,"MumboJumbo","MumboJumbo","windows",0,"Single-player","Casual","Casual;Puzzle;Match 3",0,92,29,0,0,"20000-50000","6.99",121,0.760330578512397,0.239669421487603
"7 wonders of the ancient world",9544,"DS","2007","Puzzle","Funsta",0.1,0.01,0,0.01,0.13,275810,"2014-02-18",1,"MumboJumbo","MumboJumbo","windows",0,"Single-player","Casual;Strategy","Casual;Strategy;Puzzle",0,60,31,0,0,"20000-50000","4.99",91,0.659340659340659,0.340659340659341
"7 wonders treasures of seven",12857,"DS","2011","Puzzle","Avanquest",0.02,0.03,0,0.01,0.05,16030,"2008-11-14",1,"MumboJumbo","MumboJumbo","windows",0,"Single-player","Casual","Casual;Match 3;Puzzle",0,57,21,0,0,"20000-50000","6.99",78,0.730769230769231,0.269230769230769
"a boy and his blob",7181,"Wii","2009","Platform","Majesco Entertainment",0.19,0.02,0,0.02,0.22,281200,"2016-01-19",1,"Abstraction Games;WayForward","Midnight City;Majesco Entertainment","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Adventure","Adventure;Puzzle-Platformer;Puzzle",21,253,118,108,108,"50000-100000","6.99",371,0.681940700808625,0.318059299191375
"a game of thrones genesis",14078,"PC","2011","Strategy","Focus Home Interactive",0,0.03,0,0.01,0.04,58550,"2011-09-28",1,"Cyanide Studios","Focus Home Interactive;1C-SoftClub","windows",0,"Single-player;Multi-player;Steam Achievements;Steam Leaderboards","Strategy","Strategy;RTS;Fantasy",75,201,420,8,8,"100000-200000","6.99",621,0.323671497584541,0.676328502415459
"a vampyre story",15827,"PC","2008","Adventure","Crimson Cow",0,0.01,0,0,0.02,313870,"2014-07-15",1,"Autumn Moon","Strategy First","windows",0,"Single-player","Adventure","Adventure;Point & Click;Vampire",0,49,35,0,0,"0-20000","14.99",84,0.583333333333333,0.416666666666667
"advent rising",9586,"XB","2005","Action","THQ",0.1,0.03,0,0,0.13,3800,"2006-09-14",1,"GlyphX Games","Majesco Entertainment","windows",0,"Single-player;Steam Trading Cards","Action","Action;Sci-fi;Story Rich",0,260,71,0,0,"50000-100000","7.19",331,0.785498489425982,0.214501510574018
"aegis of earth protonovus assault",15169,"PS4","2016","Action","PQube",0.02,0,0,0,0.02,450250,"2016-07-18",1,"Acquire","Aksys Games","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Cloud","Strategy","Strategy;Tower Defense;Anime",32,17,11,0,0,"0-20000","14.99",28,0.607142857142857,0.392857142857143
"agatha christie the abc murders",10446,"DS","2009","Adventure","JoWood Productions",0.08,0.01,0,0.01,0.1,374900,"2016-02-04",1,"Artefacts Studios","Microids","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Adventure","Adventure;Point & Click;Detective",50,661,176,163,188,"100000-200000","10.99",837,0.789725209080048,0.210274790919952
