"id_jeu","id_cat"
"1","5"
"1","1"
"1","7"
"1","15"
"2","5"
"3","5"
"3","10"
"4","5"
"4","1"
"4","14"
"4","7"
"4","10"
"4","4"
"5","5"
"5","1"
"5","14"
"5","7"
"5","15"
"5","8"
"5","6"
"5","4"
"5","16"
"6","5"
"6","1"
"6","14"
"6","7"
"6","6"
"6","4"
"7","5"
"7","10"
"8","5"
"8","1"
"8","10"
"9","5"
"9","1"
"9","7"
"9","15"
"9","6"
"9","4"
"9","16"
"10","5"
"10","7"
"10","10"
"11","5"
"11","1"
"12","5"
"12","7"
"12","8"
"12","18"
"12","10"
"12","6"
"13","5"
"14","5"
"14","7"
"14","10"
"14","6"
"15","5"
"15","1"
"15","14"
"16","5"
"16","7"
"16","15"
"16","6"
"17","5"
"17","21"
"17","15"
"17","6"
"18","5"
"18","7"
"18","8"
"18","10"
"18","6"
"19","5"
"19","7"
"19","8"
"19","10"
"19","6"
"20","5"
"21","5"
"21","10"
"22","5"
"22","1"
"22","7"
"22","15"
"22","8"
"22","6"
"23","5"
"23","1"
"24","5"
"24","1"
"24","10"
"25","5"
"25","1"
"25","2"
"25","6"
"25","4"
"26","5"
"26","7"
"26","10"
"26","16"
"27","5"
"27","1"
"27","14"
"27","10"
"28","5"
"28","1"
"28","14"
"28","7"
"28","15"
"28","8"
"28","9"
"28","18"
"28","6"
"28","4"
"28","13"
"28","11"
"28","17"
"29","5"
"29","1"
"29","14"
"29",
"29","10"
"30","5"
"30","1"
"30",
"31","5"
"31","7"
"31","15"
"31","8"
"31","6"
"31","16"
"32","5"
"32","20"
"32","21"
"32","10"
"32","6"
"33","5"
"33","7"
"33","15"
"33","8"
"33","6"
"34","5"
"34","1"
"34","14"
"34","8"
"34",
"35","5"
"35","1"
"35","14"
"35","7"
"35","15"
"35","9"
"35","6"
"35","4"
"35","13"
"35","16"
"35","11"
"35","17"
"36","5"
"36","1"
"36","10"
"37","5"
"37","1"
"38","5"
"38","1"
"38","14"
"38","10"
"39","5"
"40","5"
"40","7"
"40","8"
"40","10"
"40","6"
"41","5"
"41","21"
"41","15"
"42","5"
"42","1"
"42","7"
"42","15"
"42","8"
"42","9"
"42","6"
"42","16"
"43","5"
"44","5"
"44",
"44","10"
"45","5"
"45","7"
"45","10"
"46","5"
"46","1"
"46","2"
"46","3"
"46","21"
"46","7"
"46","15"
"46",
"46","6"
"47","5"
"47","1"
"48","5"
"49","5"
"49","14"
"49","7"
"49","15"
"49","8"
"49","6"
"50","5"
"50","6"
"51","5"
"52","5"
"53","5"
"54","5"
"54","1"
"55","5"
"55","1"
"56","5"
"56","14"
"56","7"
"56","8"
"56","10"
"56","6"
"57","5"
"57","7"
"57","15"
"57","8"
"57","6"
"58","5"
"58","1"
"58","7"
"58","15"
"58","8"
"58","6"
"58","16"
"59","5"
"59","1"
"60","5"
"60","7"
"60","8"
"60","10"
"60","6"
"61","5"
"61","10"
"62","5"
"63","5"
"63","10"
"64","5"
"64","21"
"64","15"
"65","5"
"65","7"
"65","8"
"65","10"
"65","6"
"66","5"
"67","5"
"67","1"
"67","14"
"68","5"
"68","7"
"68","15"
"68","8"
"68","6"
"68","16"
"69","5"
"69","7"
"69","8"
"69","9"
"69","10"
"69","6"
"69","11"
"70","5"
"71","5"
"71","7"
"71","8"
"71","10"
"71","6"
"72","5"
"72","21"
"72","7"
"72","15"
"72","6"
"73","5"
"74","5"
"74","6"
"75","5"
"75","7"
"75","8"
"75","10"
"75","6"
"76","5"
"76","1"
"76","14"
"76","8"
"76",
"76","10"
"77","5"
"77","7"
"77","15"
"77","8"
"77","6"
"77","16"
"78","5"
"79","5"
"79","8"
"79","10"
"80","5"
"80","14"
"80","7"
"80","15"
"80","8"
"80","9"
"80","18"
"80","6"
"80","13"
"80","19"
"80","17"
"81","5"
"81","7"
"81","15"
"81","8"
"81","6"
"81","16"
"82","5"
"82","1"
"82","10"
"83","5"
"83","15"
"84","5"
"84","1"
"85","5"
"85","7"
"85","15"
"85","8"
"85","6"
"86","5"
"86","1"
"87","5"
"87","6"
"88","5"
"88","14"
"89","5"
"89","1"
"89","6"
"90","5"
"90","20"
"90","21"
"90","10"
"90","6"
"91","5"
"91","1"
"91","7"
"91","10"
"92","5"
"92","2"
"92","21"
"92","7"
"92","10"
"92","6"
"93","5"
"93","19"
"94","5"
"94","7"
"94","15"
"94","8"
"95","5"
"95","1"
"95","3"
"95","14"
"95","20"
"95","7"
"95","8"
"95","10"
"96","5"
"96","7"
"96","16"
"97","5"
"97","7"
"97","15"
"97","8"
"97","9"
"97","6"
"98","5"
"98","10"
"99","5"
"99","7"
"99","15"
"99","6"
"100","5"
"100","10"
"100","6"
"101","5"
"101","10"
"102","5"
"102","7"
"102","15"
"102","6"
"103",
"103","8"
"103","10"
"104","5"
"104","1"
