"id_jeu","id_editeur","editeur"
"1","168","Rockstar Games"
"2","168","Rockstar Games"
"3","168","Rockstar Games"
"4","8","Activision"
"5","8","Activision"
"6","8","Activision;Aspyr (Mac)"
"7","168","Rockstar Games"
"8","168","Rockstar Games"
"9","8","Activision"
"10","185","Square Enix"
"11","8","Activision;Aspyr (Mac)"
"12","27","Bethesda Softworks"
"13","66","Electronic Arts"
"14","185","Square Enix"
"15","8","Activision"
"16","27","Bethesda Softworks"
"17","124","LucasArts;Lucasfilm;Disney Interactive;Feral Interactive (Mac)"
"18","185","Square Enix"
"19","185","Square Enix"
"20","185","Square Enix"
"21","27","Bethesda Softworks"
"22","185","Square Enix;Feral Interactive (Mac);Feral Interactive (Linux)"
"23","207","Ubisoft"
"24","39","Capcom"
"25","211","Valve"
"26","27","Bethesda Softworks"
"27","207","Ubisoft"
"28","211","Valve"
"29","207","Ubisoft"
"30","207","Ubisoft"
"31","215","Warner Bros. Interactive Entertainment"
"32","124","LucasArts;Lucasfilm;Disney Interactive"
"33","41","CD PROJEKT RED"
"34","207","Ubisoft"
"35","211","Valve"
"36","207","Ubisoft"
"37","66","Electronic Arts"
"38","207","Ubisoft"
"39","168","Rockstar Games"
"40","185","Square Enix"
"41","215","Warner Bros. Interactive Entertainment"
"42","117","Konami Digital Entertainment"
"43","168","Rockstar Games"
"44","207","Ubisoft"
"45","168","Rockstar Games"
"46","133","Microsoft Studios"
"47","125","Lucasfilm;Disney Interactive"
"48","66","Electronic Arts"
"49","4","2K;Aspyr (Mac);Aspyr (Linux)"
"50","56","Deep Silver"
"51","207","Ubisoft"
"52","109","Io-Interactive A/S"
"53","66","Electronic Arts"
"54","66","Electronic Arts"
"55","66","Electronic Arts"
"56","56","Deep Silver"
"57","39","CAPCOM CO., LTD"
"58","215","Warner Bros. Interactive Entertainment"
"59","66","Electronic Arts"
"60","185","Square Enix"
"61","60","Disney Interactive;LucasArts"
"62","66","Electronic Arts"
"63","174","SEGA"
"64","215","Warner Bros. Interactive Entertainment"
"65","185","Square Enix"
"66","51","Cyan Worlds"
"67","207","Ubisoft"
"68","215","Warner Bros. Interactive Entertainment"
"69","211","Valve"
"70","168","Rockstar Games"
"71","185","Square Enix"
"72","215","Warner Bros. Interactive Entertainment;Feral Interactive (Mac)"
"73","207","Ubisoft"
"74","124","LucasArts;Aspyr (Mac);Disney Interactive;Lucasfilm"
"75","109","Io-Interactive A/S;Feral Interactive (Mac)"
"76","207","Ubisoft"
"77","33","Bigben Interactive"
"78","24","baKno Games"
"79","207","Ubisoft"
