"id_jeu","id_genre","genre"
"1","1","Action"
"2","1","Action"
"3","1","Action"
"4","9","Shooter"
"5","9","Shooter"
"6","9","Shooter"
"7","1","Action"
"8","1","Action"
"9","9","Shooter"
"10","8","Role-Playing"
"11","9","Shooter"
"12","8","Role-Playing"
"13","10","Simulation"
"14","8","Role-Playing"
"15","9","Shooter"
"16","8","Role-Playing"
"17","1","Action"
"18","8","Role-Playing"
"19","8","Role-Playing"
"20","1","Action"
"21","8","Role-Playing"
"22","1","Action"
"23","1","Action"
"24","3","Fighting"
"25","9","Shooter"
"26","8","Role-Playing"
"27","9","Shooter"
"28","9","Shooter"
"29","1","Action"
"30","1","Action"
"31","1","Action"
"32","1","Action"
"33","8","Role-Playing"
"34","9","Shooter"
"35","9","Shooter"
"36","1","Action"
"37","9","Shooter"
"38","9","Shooter"
"39","1","Action"
"40","8","Role-Playing"
"41","1","Action"
"42","1","Action"
"43","9","Shooter"
"44","1","Action"
"45","2","Adventure"
"46","3","Fighting"
"47","7","Racing"
"48","8","Role-Playing"
"49","9","Shooter"
"50","1","Action"
"51","1","Action"
"52","1","Action"
"53","8","Role-Playing"
"54","9","Shooter"
"55","7","Racing"
"56","1","Action"
"57","1","Action"
"58","3","Fighting"
"59","7","Racing"
"60","8","Role-Playing"
"61","1","Action"
"62","8","Role-Playing"
"63","7","Racing"
"64","1","Action"
"65","8","Role-Playing"
"66","2","Adventure"
"67","9","Shooter"
"68","1","Action"
"69","9","Shooter"
"70","1","Action"
"71","8","Role-Playing"
"72","1","Action"
"73","1","Action"
"74","8","Role-Playing"
"75","1","Action"
"76","9","Shooter"
"77","4","Misc"
"78","4","Misc"
"79","1","Action"
"80","9","Shooter"
"81","1","Action"
"82","7","Racing"
"83","1","Action"
"84","9","Shooter"
"85","9","Shooter"
"86","9","Shooter"
"87","9","Shooter"
"88","9","Shooter"
"89","9","Shooter"
"90","1","Action"
"91","9","Shooter"
"92","5","Platform"
"93","1","Action"
"94","1","Action"
"95","8","Role-Playing"
"96","10","Simulation"
"97","1","Action"
"98","5","Platform"
"99","1","Action"
"100","10","Simulation"
"101","5","Platform"
"102","1","Action"
"103","8","Role-Playing"
"104","7","Racing"
"105","1","Action"
"106","12","Strategy"
"107","1","Action"
"108","5","Platform"
"109","1","Action"
"110","1","Action"
"111","1","Action"
"112","9","Shooter"
"113","1","Action"
"114","1","Action"
"115","9","Shooter"
"116","9","Shooter"
"117","8","Role-Playing"
"118","1","Action"
"119","1","Action"
"120","9","Shooter"
"121","7","Racing"
"122","9","Shooter"
"123","1","Action"
"124","1","Action"
"125","9","Shooter"
"126","9","Shooter"
"127","5","Platform"
"128","12","Strategy"
"129","4","Misc"
"130","1","Action"
"131","2","Adventure"
"132","1","Action"
"133","8","Role-Playing"
"134","1","Action"
"135","1","Action"
"136","1","Action"
"137","9","Shooter"
"138","9","Shooter"
"139","9","Shooter"
"140","8","Role-Playing"
"141","1","Action"
"142","1","Action"
"143","2","Adventure"
"144","8","Role-Playing"
"145","1","Action"
"146","1","Action"
"147","1","Action"
"148","10","Simulation"
"149","5","Platform"
"150","9","Shooter"
"151","1","Action"
"152","3","Fighting"
"153","7","Racing"
"154","11","Sports"
"155","11","Sports"
"156","1","Action"
"157","12","Strategy"
"158","9","Shooter"
"159","5","Platform"
